AAA	Anaa Airport	Anaa, Tuamotus, French Polynesia
ADL	Adelaide International Airport	Adelaide, South Australia, Australia
ADM	Ardmore Municipal Airport	Ardmore, Oklahoma, United States
ADN	Andes Airport	Andes, Colombia
ADO	Andamooka Airport	Andamooka, South Australia, Australia
ADP	Anuradhapura Airport	Anuradhapura, Sri Lanka
ADQ	Kodiak Airport	Kodiak, Alaska, United States
ADR	Robert F. Swinnie Airport (FAA: PHH)	Andrews, South Carolina, United States
ADS	Addison Airport	Dallas, Texas, United States
ADT	Ada Municipal Airport (FAA: ADH)	Ada, Oklahoma, United States
ADU	Ardabil Airport	Ardabil, Iran
ADV	Andover Airport	Andover, England, United Kingdom
ADW	Andrews Air Force Base	Camp Springs, Maryland, United States
ADX	RAF Leuchars	St Andrews, Scotland, United Kingdom
ADY	Alldays Airport	Alldays, Limpopo, South Africa
ADZ	Gustavo Rojas Pinilla International Airport	San Andres Island, Colombia
AEA	Abemama Atoll Airport	Abemama Atoll, Kiribati
AED	Aleneva Airport	Aleneva, Alaska, United States
AEG	Aek Godang Airport	Padang Sidempuan, Indonesia
AEH	Abéché Airport	Abéché, Chad
AEK	Aseki Airport	Aseki, Papua New Guinea
AEL	Albert Lea Municipal Airport	Albert Lea, Minnesota, United States
AEO	Aioun el Atrouss Airport	Aioun El Atrouss, Mauritania
AEP	Jorge Newbery Airpark	Buenos Aires, Argentina
AER	Adler-Sochi International Airport	Sochi, Krasnodar, Russia
AES	Ålesund Airport, Vigra	Aalesund, Norway
AET	Allakaket Airport (FAA: 6A8)	Allakaket, Alaska, United States
AEX	Alexandria International Airport	Alexandria, Louisiana, United States
AEY	Akureyri Airport	Akureyri, Iceland
AFA	San Rafael Airport	San Rafael, Mendoza, Argentina
AFD	Port Alfred Airport	Port Alfred, South Africa
AFF	United States Air Force Academy Airfield	Colorado Springs, Colorado, United States
AFI	Amalfi Airport	Amalfi, Colombia
AFL	Alta Floresta Airport	Alta Floresta, Brazil
AFN	Jaffrey Airport - Silver Ranch Airpark	Jaffrey, New Hampshire, United States
AFO	Afton Municipal Airport	Afton, Wyoming, United States
AFR	Afore Airport	Afore, Papua New Guinea
AFT	Afutara Airport	Afutara, Solomon Islands
AFW	Fort Worth Alliance Airport	Fort Worth, Texas, United States
AFY	Afyon Airport	Afyon, Turkey
AGA	Al Massira Airport	Agadir, Morocco
AGB	Augsburg Airport	Augsburg, Bavaria, Germany
AGC	Allegheny County Airport	Pittsburgh, Pennsylvania, United States
AGD	Anggi Airport	Anggi, Indonesia
AGE	Wangerooge Airport	Wangerooge, Lower Saxony, Germany
AGF	Agen - La Garenne Aerodrome	Agen, France
AGG	Angorarn Airport	Angorarn, Papua New Guinea
AGH	Ängelholm-Helsingborg Airport (former ICAO: ESDB)	Ängelholm, Sweden
AGI	Wageningen Airport	Wageningen, Suriname
AGJ	Aguni Airport	Aguni, Japan
AGK	Kagua Airport	Kagua, Papua New Guinea
AGL	Wanigela Airport	Wanigela, Papua New Guinea
AGM	Tasiilaq Heliport	Tasiilaq, Greenland
AGN	Angoon Seaplane Base	Angoon, Alaska, United States
AGO	Magnolia Municipal Airport	Magnolia, Arkansas, United States
AGP	Pablo Ruiz Picasso Airport	Málaga, Spain
AGQ	Agrinion Airport	Agrinion, Greece
AGR	Agra Airport/Agra Air Force Station	Agra, India
AGS	Augusta Regional Airport at Bush Field	Augusta, Georgia, United States
AGT	Guarani International Airport (Alejo Garcia Airport)	Ciudad del Este, Paraguay
AGU	Lic. Jesús Terán Peredo International Airport	Aguascalientes, Mexico
AGV	Oswaldo Guevara Mujica Airport	Acarigua, Venezuela
AGW	Agnew Airport	Agnew, Queensland, Australia
AGX	Agatti Island Airport	Agatti Island, India
AGY	Argyle Downs Airport	Argyle Downs, Western Australia, Australia
AGZ	Aggeneys Airport	Aggeneys, South Africa
AHB	Abha Regional Airport	Abha / Khamis Mushait, Saudi Arabia
AHC	Amedee Army Airfield	Herlong, California
AHD	Ardmore Downtown Executive Airport (FAA: 1F0)	Ardmore, Oklahoma, United States
AHE	Ahe Airport	Ahe, French Polynesia
AHF	Arapahoe Municipal Airport (FAA: 37V)	Arapahoe, Nebraska, United States
AHH	Amery Municipal Airport	Amery, Wisconsin, United States
AHI	Amahai Airport	Amahai, Indonesia
AHL	Aishalton Airport	Aishalton, Guyana
AHN	Athens-Ben Epps Airport	Athens, Georgia, United States
AHO	Fertilia Airport (Alghero Airport)	Alghero, Sardinia, Italy
AHS	Ahuas Airport	Ahuas, Honduras
AHU	Charif Al ldrissi Airport	Al Hoceima, Morocco
AHY	Ambatolahy Airport	Ambatolahy, Madagascar
AHZ	Alpe d'Huez Airport	Alpe d'Huez, France
AIA	Alliance Municipal Airport	Alliance, Nebraska, United States
AIC	Airok Airport	Airok, Marshall Islands
AID	Anderson Municipal Airport (Darlington Field)	Anderson, Indiana, United States
AIE	Aiome Airport	Aiome, Papua New Guinea
AIF	Assis Airport	Assis, São Paulo, Brazil
AIG	Yalinga Airport	Yalinga, Central African Republic
AIH	Aiambak Airport	Aiambak, Papua New Guinea
AII	Ali-Sabieh Airport	Ali-Sabieh, Djibouti
AIK	Aiken Municipal Airport	Aiken, South Carolina, United States
AIL	Ailigandi Airport	Ailigandi, Panama
AIM	Ailuk Airport	Ailuk, Marshall Islands
AIN	Wainwright Airport (FAA: AWI)	Fort Wainwright, Alaska, United States
AIO	Atlantic Municipal Airport	Atlantic, Iowa, United States
AIP	Ailinglaplap Airport	Ailinglaplap Atoll, Marshall Islands
AIR	Aripuanã Airport	Aripuanã, Mato Grosso, Brazil
AIS	Arorae Island Airport	Arorae Island, Kiribati
AIT	Aitutaki Island Airport	Aitutaki, Cook Islands
AIU	Atiu Island Airport	Atiu Island, Cook Islands
AIV	George Downer Airport	Aliceville, Alabama, United States
AIW	Ai-Ais Airport	Ai-Ais, Namibia
AIY	Atlantic City Municipal Airport (Bader Field) (closed 2006)	Atlantic City, New Jersey, United States
AIZ	Lee C. Fine Memorial Airport	Lake Ozark, Missouri, United States
AJA	Ajaccio - Campo dell'Oro Airport	Ajaccio, Corsica, France
AJF	Al-Jawf Domestic Airport	Al-Jawf, Saudi Arabia
AJI	Ağrı Airport	Ağrı, Turkey
AJJ	Akjoujt Airport	Akjoujt, Mauritania
AJL	Aizawl Airport	Aizawl, India
AJN	Ouani Airport	Anjouan, Comoros Islands
AJO	Aljouf Airport	Aljouf, Yemen
AJR	Arvidsjaur Airport	Arvidsjaur, Sweden
AJS	Abreojos Airport	Abreojos, Baja California Sur, Mexico
AJU	Santa Maria Airport	Aracaju, Sergipe, Brazil
AJY	Mano Dayak International Airport	Agadez, Niger
AKA	Ankang Airport	Ankang, Shaanxi, People's Republic of China
AKB	Atka Airport (FAA: AKA)	Atka, Alaska, United States
AKC	Akron Fulton International Airport (FAA: AKR)	Akron, Ohio, United States
AKD	Akola Airport	Akola, India
AKE	Akieni Airport	Akieni, Gabon
AKF	Kufra Airport	Kufra, Libya
AKG	Anguganak Airport	Anguganak, Papua New Guinea
AKI	Akiak Airport	Akiak, Alaska, United States
AKJ	Asahikawa Airport	Asahikawa, Hokkaido, Japan
AKK	Akhiok Airport	Akhiok, Alaska, United States
AKL	Auckland Airport	Mangere, New Zealand
AKM	Zakouma Airport	Zakouma, Chad
AKN	King Salmon Airport	King Salmon, Alaska, United States
AKO	Colorado Plains Regional Airport	Akron, Colorado, United States
AKP	Anaktuvuk Pass Airport	Anaktuvuk Pass, Alaska, United States
AKQ	Gunung Batin Airport	Astraksetra, Indonesia
AKR	Akure Airport	Akure, Nigeria
AKS	Gwaunaru'u Airport	Auki, Solomon Islands
AKT	RAF Akrotiri	Akrotiri, Cyprus
AKU	Aksu Airport	Aksu, Xinjiang, People's Republic of China
AKV	Akulivik Airport	Akulivik, Quebec, Canada
AKX	Aqtobe Airport	Aqtobe (Aktyubinsk), Kazakhstan
AKY	Sittwe Airport	Sittwe, Myanmar (Burma)
ALA	Almaty International Airport	Almaty, Kazakhstan
ALB	Albany International Airport	Albany, New York, United States
ALC	El Altet Airport	Alicante, Spain
ALD	Alerta Airport	Alerta, Peru
ALE	Alpine-Casparis Municipal Airport (FAA: E38)	Alpine, Texas, United States
ALF	Alta Airport	Alta, Norway
ALG	Houari Boumedienne Airport	Algiers, Algeria
ALH	Albany Airport	Albany, Western Australia, Australia
ALI	Alice International Airport	Alice, Texas, United States
ALJ	Kortdoorn Airport	Alexander Bay, South Africa
ALK	Asella Airport	Asella, Ethiopia
ALL	Albenga Airport	Albenga/Villanova, Italy
ALM	Alamogordo-White Sands Regional Airport	Alamogordo, New Mexico, United States
ALN	St. Louis Regional Airport	Alton, Illinois, United States
ALO	Waterloo Regional Airport	Waterloo, Iowa, United States
ALP	Aleppo International Airport (Nejrab Airport)	Aleppo, Syria
ALQ	Alegrete Federal Airport	Alegrete, Rio Grande do Sul, Brazil
ALR	Alexandra Airport	Alexandra, New Zealand
ALS	San Luis Valley Regional Airport	Alamosa, Colorado, United States
ALT	Alenquer Airport	Alenquer, Pará, Brazil
ALU	Alula Airport	Alula, Somalia
ALV	Andorra La Vella Airport	Andorra la Vella, Andorra
ALW	Walla Walla Regional Airport	Walla Walla, Washington, United States
ALX	Thomas C. Russell Field	Alexander City, Alabama, United States
ALY	Alexandria International Airport	Alexandria, Egypt
ALZ	Alitak Seaplane Base	Lazy Bay, Alaska, United States
AMA	Rick Husband Amarillo International Airport	Amarillo, Texas, United States
AMB	Ambilobe Airport	Ambilobe, Madagascar
AMC	Am Timan Airport	Am Timan, Chad
AMD	Sardar Vallabhbhai Patel International Airport	Ahmedabad, India
AME	Alto Molocue Airport	Alto Molocue, Mozambique
AMF	Ama Airport	Ama, Papua New Guinea
AMG	Amboin Airport	Amboin, Papua New Guinea
AMH	Arba Minch Airport	Arba Minch, Ethiopia
AMI	Selaparang Airport	Mataram, Indonesia
AMJ	Almenara Airport	Almenara, Minas Gerais, Brazil
AMK	Animas Air Park (FAA: 00C)	Durango, Colorado, United States
AML	Puerto Armuellas Airport	Puerto Armuellas, Panama
AMM	Queen Alia International Airport	Amman, Jordan
AMN	Gratiot Community Airport	Alma, Michigan, United States
AMO	Mao Airport	Mao, Chad
AMP	Ampanihy Airport	Ampanihy, Madagascar
AMQ	Pattimura Airport	Ambon, Indonesia
AMR	Arno Airport	Arno, Marshall Islands
AMS	Schiphol Airport	Haarlemmermeer, Netherlands
AMT	Amata Airport	Amata, Northern Territory, Australia
AMU	Amanab Airport	Amanab, Papua New Guinea
AMV	Amderma Airport	Amderma, Russia
AMW	Ames Municipal Airport	Ames, Iowa, United States
AMX	Ammaroo Airport	Ammaroo, Northern Territory, Australia
AMY	Ambatomainty Airport	Ambatomainty, Madagascar
AMZ	Ardmore Airport	Ardmore, New Zealand
ANB	Anniston Metropolitan Airport	Anniston, Alabama, United States
ANC	Ted Stevens Anchorage International Airport	Anchorage, Alaska, United States
AND	Anderson Regional Airport	Anderson, South Carolina, United States
ANE	Angers - Avrillé Aerodrome (Angers-Marcé Airport)	Angers, France
ANF	Cerro Moreno International Airport	Antofagasta, Chile
ANG	Angoulême - Brie - Champniers Airport	Angoulême, France
ANH	Anuha Island Resort Airport	Anuha Island Resort, Solomon Islands
ANI	Aniak Airport	Aniak, Alaska, United States
ANJ	Zanaga Airport	Zanaga, Republic of the Congo
ANK	Etimesgut Airport	Ankara, Turkey
ANL	Andulo Airport	Andulo, Angola
ANM	Antsirabato Airport	Antalaha, Madagascar
ANN	Annette Island Airport	Annette Island, Alaska, United States
ANO	Angoche Airport	Angoche, Mozambique
ANP	Lee Airport	Annapolis, Maryland, United States
ANQ	Tri-State Steuben County Airport	Angola, Indiana, United States
ANR	Antwerp International Airport	Antwerp, Belgium
ANS	Andahuaylas Airport	Andahuaylas, Peru
ANT	St. Anton Airport	St. Anton, Austria
ANU	V.C. Bird International Airport	St. John's, Antigua, Antigua and Barbuda
ANV	Anvik Airport	Anvik, Alaska, United States
ANW	Ainsworth Municipal Airport	Ainsworth, Nebraska, United States
ANX	Andøya Airport, Andenes	Andenes, Norway
ANY	Anthony Municipal Airport	Anthony, Kansas, United States
ANZ	Angus Downs Airport	Angus Downs, Northern Territory, Australia
AOA	Aroa Airport	Aroa, Papua New Guinea
AOB	Annanberg Airport	Annanberg, Papua New Guinea
AOC	Leipzig-Altenburg Airport	Altenburg, Thuringia, Germany
AOD	Abou-Deia Airport	Abou-Deia, Chad
AOE	Anadolu Airport	Eskişehir, Turkey
AOG	Anshan Airport	Anshan, Liaoning, People's Republic of China
AOH	Lima Allen County Airport	Lima, Ohio, United States
AOI	Falconara Airport	Ancona, Italy
AOJ	Aomori Airport	Aomori, Japan
AOK	Karpathos Airport	Karpathos, Greece
AOL	Paso de los Libres Airport	Paso de los Libres, Corrientes, Argentina
AON	Arona Airport	Arona, Papua New Guinea
AOO	Altoona-Blair County Airport	Altoona, Pennsylvania, United States
AOR	Sultan Abdul Halim Airport	Alor Star, Kedah, Malaysia
AOS	Amook Bay Seaplane Base (FAA: AK81)	Amook Bay, Alaska, United States
AOT	Corrado Gex Airport	Aosta, Italy
AOU	Attopeu Airport	Attopeu, Laos
APA	Centennial Airport	Arapahoe County, Colorado, United States
APB	Apolo Airport	Apolo, Bolivia
APC	Napa County Airport	Napa, California, United States
APE	San Juan Aposento Airport	San Juan Aposento, Peru
APF	Naples Municipal Airport	Naples, Florida, United States
APG	Phillips Army Airfield	Aberdeen Proving Ground, Maryland, United States
APH	A.P. Hill Army Airfield	Fort A.P. Hill, Virginia, United States
API	Gomez Nino-Apiay Airport	Apiay, Colombia
APK	Apataki Airport	Apataki, French Polynesia
APL	Nampula Airport	Nampula, Mozambique
APN	Alpena County Regional Airport	Alpena, Michigan, United States
APO	Antonio Roldán Betancourt Airport	Apartadó, Colombia
APP	Asapa Airport	Asapa, Papua New Guinea
APQ	Arapiraca Airport	Arapiraca, Alagoas, Brazil
APR	April River Airport	April River, Papua New Guinea
APS	Anápolis Airport	Anápolis, Goiás, Brazil
APT	Marion County Airport (Brown Field)	Jasper, Tennessee, United States
APU	Apucarana Airport	Apucarana, Paraná, Brazil
APV	Apple Valley Airport	Apple Valley, California, United States
APW	Faleolo International Airport	Apia, Upolu Island, Samoa
APX	Arapongas Airport	Arapongas, Paraná, Brazil
APY	Alto Parnaíba Airport	Alto Parnaíba, Maranhão, Brazil
APZ	Zapala Airport	Zapala, Neuquén, Argentina
AQA	Araraquara Airport	Araraquara, São Paulo, Brazil
AQB	Quiché Airport	Quiché, El Quiché, Guatemala
AQG	Anqing Airport	Anqing, Anhui, People's Republic of China
AQI	Qaisumah Domestic Airport	Qaisumah, Hafar Al-Batin, Eastern Province, Saudi Arabia
AQJ	King Hussein International Airport	Aqaba, Jordan
AQM	Ariquemes Airport	Ariquemes, Rondônia, Brazil
AQP	Rodriguez Ballon International Airport	Arequipa, Peru
AQS	Saqani Airport	Saqani, Fiji
ARA	Acadiana Regional Airport	New Iberia, Louisiana, United States
ARB	Ann Arbor Municipal Airport	Ann Arbor, Michigan, United States
ARC	Arctic Village Airport	Arctic Village, Alaska, United States
ARD	Alor Island Airport	Alor Island, Indonesia
ARE	Antonio (Nery) Juarbe Pol Airport (FAA: ABO)	Arecibo, Puerto Rico
ARF	Acaricuara Airport	Acaricuara, Colombia
ARG	Walnut Ridge Regional Airport	Walnut Ridge, Arkansas, United States
ARH	Talagi Airport	Arkhangelsk, Russia
ARI	Chacalluta International Airport	Arica, Chile
ARJ	Arso Airport	Arso, Indonesia
ARK	Arusha Airport	Arusha, Tanzania
ARL	Arly Airport	Arly, Burkina Faso
ARM	Armidale Airport	Armidale, New South Wales, Australia
ARN	Stockholm-Arlanda Airport	Stockholm, Sweden
ARO	Arboletas Airport	Arboletas, Colombia
ARP	Aragip Airport	Aragip, Papua New Guinea
ARQ	Arauquita Airport (El Troncal)	Arauquita, Colombia
ARR	Alto Río Senguer Airport	Alto Río Senguer, Chubut, Argentina
ARS	Aragarças Airport	Aragarças, Goiás, Brazil
ART	Watertown International Airport	Watertown, New York, United States
ARU	Araçatuba Airport	Araçatuba, São Paulo, Brazil
ARV	Lakeland Airport (Noble F. Lee Memorial Field)	Minocqua/Woodruff, Wisconsin, United States
ARW	Arad International Airport	Arad, Romania
ARX	Asbury Park Neptune Airport (closed 1977)	Asbury Park, New Jersey, United States
ARY	Ararat Airport	Ararat, Victoria, Australia
ARZ	N'zeto Airport	N'zeto, Angola
ASA	Assab International Airport	Assab, Eritrea
ASB	Ashgabat Airport	Ashgabat, Turkmenistan
ASC	Ascención de Guarayos Airport	Ascención de Guarayos, Bolivia
ASD	Andros Town International Airport	Andros Island, Bahamas
ASE	Aspen-Pitkin County Airport (Sardy Field)	Aspen, Colorado, United States
ASF	Narimanovo Airport	Astrakhan, Russia
ASG	Ashburton Airport	Ashburton, New Zealand
ASH	Boire Field	Nashua, New Hampshire, United States
ASI	Wideawake Field	Georgetown, Ascension Island, Saint Helena
ASJ	Amami O Shima Airport	Amami Island, Japan
ASK	Yamoussoukro Airport	Yamoussoukro, Côte d'Ivoire
ASL	Harrison County Airport	Marshall, Texas, United States
ASM	Asmara International Airport	Asmara, Eritrea
ASN	Talladega Municipal Airport	Talladega, Alabama, United States
ASO	Asosa Airport	Asosa, Ethiopia
ASP	Alice Springs Airport	Alice Springs, Northern Territory, Australia
ASQ	Austin Airport (FAA: 9U3)	Austin, Nevada, United States
ASR	Erkilet International Airport	Kayseri Province, Turkey
AST	Astoria Regional Airport	Astoria, Oregon, United States
ASU	Silvio Pettirossi International Airport	Asunción, Paraguay
ASV	Amboseli Airport	Amboseli, Kenya
ASW	Aswan International Airport	Aswan, Egypt
ASX	John F. Kennedy Memorial Airport	Ashland, Wisconsin, United States
ASY	Ashley Municipal Airport	Ashley, North Dakota, United States
ASZ	Asirim Airport	Asirim, Papua New Guinea
ATA	Comandante FAP German Arias Grazziani Airport	Huaraz, Peru
ATB	Atbara Airport	Atbara, Sudan
ATC	Arthur's Town Airport	Arthur's Town, Cat Island, Bahamas
ATD	Atoifi Airport	Atoifi, Malaita, Solomon Islands
ATE	Antlers Municipal Airport (FAA: 80F)	Antlers, Oklahoma, United States
ATF	Chachoan Airport	Ambato, Ecuador
ATG	Attock Airport	Attock, Pakistan
ATH	Eleftherios Venizelos International Airport (sulinikon International Airport)	Athens, Greece
ATI	Artigas International Airport	Artigas, Uruguay
ATJ	Antsirabe Airport	Antsirabe, Madagascar
ATK	Atqasuk Edward Burnell Sr. Memorial Airport	Atqasuk, Alaska, United States
ATL	Hartsfield-Jackson Atlanta International Airport	Atlanta, Georgia, United States
ATM	Altamira Airport	Altamira, Pará, Brazil
ATN	Namatanai Airport	Namatanai, Papua New Guinea
ATO	Ohio University Airport (Snyder Field) (FAA: UNI)	Athens/Albany, Ohio, United States
ATP	Aitape Airstrip	Aitape, Papua New Guinea
ATQ	Raja Sansi International Airport	Amritsar, India
ATR	Atar International Airport	Atar, Mauritania
ATS	Artesia Municipal Airport	Artesia, New Mexico, United States
ATT	Atmautluak Airport (FAA: 4A2)	Atmautluak, Alaska, United States
ATU	Casco Cove Coast Guard Station	Attu Island, Alaska, United States
ATV	Ati Airport	Ati, Chad
ATW	Outagamie County Regional Airport	Greenville, Wisconsin, United States
ATX	Atbasar Airport	Atbasar, Kazakstan
ATY	Watertown Regional Airport	Watertown, South Dakota, United States
ATZ	Assiut Airport	Assiut, Egypt
AUA	Queen Beatrix International Airport	Oranjestad, Aruba
AUB	Itauba Airport	Itauba, Mato Grosso, Brazil
AUC	Santiago Pérez Airport	Arauca, Colombia
AUD	Augustus Downs Airport	Augustus Downs, Queensland, Australia
AUE	Abu Rudeis Airport	Abu Rudeis, Egypt
AUF	Auxerre - Branches Airport	Auxerre, France
AUG	Augusta State Airport	Augusta, Maine, United States
AUH	Abu Dhabi International Airport	Abu Dhabi, United Arab Emirates
AUI	Aua Island Airport	Aua Island, Papua New Guinea
AUJ	Ambunti Airport	Ambunti, Papua New Guinea
AUK	Alakanuk Airport	Alakanuk, Alaska, United States
AUL	Aur Airport	Aur Atoll, Marshall Islands
AUM	Austin Municipal Airport	Austin, Minnesota, United States
AUN	Auburn Municipal Airport	Auburn, California, United States
AUO	Auburn-Opelika Robert G. Pitts Airport	Auburn, Alabama, United States
AUP	Agaun Airport	Agaun, Papua New Guinea
AUQ	Atuona Airport	Atuona, Marquesas Islands, French Polynesia
AUR	Aurillac Airport	Aurillac, France
AUS	Austin-Bergstrom International Airport	Austin, Texas, United States
AUT	Atauro Airport	Atauro Island, East Timor
AUU	Aurukun Airport	Aurukun, Queensland, Australia
AUV	Aurno Airport	Aurno, Papua New Guinea
AUW	Wausau Downtown Airport	Wausau, Wisconsin, United States
AUX	Araguaína Airport	Araguaína, Tocantins, Brazil
AUY	Anatom Airport	Anatom, Taféa, Vanuatu
AUZ	Aurora Municipal Airport (FAA: ARR)	Aurora, Illinois, United States
AVB	Aviano Air Base	Aviano, Pordenone, Italy
AVF	Avoriaz Airport	Avoriaz, France
AVG	Auvergne Airport	Auvergne, Northern Territory, Australia
AVI	Máximo Gómez Airport	Ciego de Ávila, Cuba
AVK	Arvaikheer Airport	Arvaikheer, Mongolia
AVL	Asheville Regional Airport	Fletcher, North Carolina, United States
AVN	Avignon - Caumont Airport	Avignon, France
AVO	Avon Park Executive Airport	Avon Park, Florida, United States
AVP	Wilkes-Barre/Scranton International Airport	Avoca, Pennsylvania, United States
AVU	Avu Avu Airport	Avu Avu, Solomon Islands
AVV	Avalon Airport	Avalon, Victoria, Australia
AVW	Marana Regional Airport (FAA: AVQ)	Tucson, Arizona, United States
AWA	Awasa Airport	Awasa, Ethiopia
AWB	Awaba Airport	Awaba, Papua New Guinea
AWD	Aniwa Airport	Aniwa Island, Taféa, Vanuatu
AWE	Alowe Airport	Alowe, Gabon
AWH	Awareh Airport	Awareh, Ethiopia
AWK	Wake Island Airfield	Wake Island, United States Minor Outlying Islands
AWM	West Memphis Municipal Airport	West Memphis, Arkansas, United States
AWN	Afton Downs Airport	Afton Downs, South Australia, Australia
AWP	Austral Downs Airport	Austral Downs, Northern Territory, Australia
AWR	Awar Airport	Awar, Papua New Guinea
AWZ	Ahwaz Airport	Ahwaz, Iran
AXA	Wallblake Airport	The Valley, Anguilla
AXB	Maxson Airfield (FAA: 89N)	Alexandria Bay, New York, United States
AXC	Aramac Airport	Aramac, Queensland, Australia
AXD	Dimokritos Airport	Alexandroupolis, Greece
AXE	Xanxere Airport	Xanxerê, Santa Catarina, Brazil
AXG	Algona Municipal Airport (FAA: AXA)	Algona, Iowa, United States
AXK	Ataq Airport	Ataq, Yemen
AXL	Alexandria Airport	Alexandria, Northern Territory, Australia
AXM	El Edén International Airport	Armenia, Colombia
AXN	Chandler Field	Alexandria, Minnesota, United States
AXP	Spring Point Airport	Spring Point, Acklins Island, Bahamas
AXR	Arutua Airport	Arutua, Tuamotus, French Polynesia
AXS	Altus/Quartz Mountain Regional Airport	Altus, Oklahoma, United States
AXT	Akita Airport	Akita, Japan
AXU	Axum Airport	Axum, Ethiopia
AXV	Neil Armstrong Airport	Wapakoneta, Ohio, United States
AXX	Angel Fire Airport	Angel Fire, New Mexico, United States
